h3_index,lsoa21cd,percentage_coverage
89194e61c47ffff,E01002355,1.4
89194e61c47ffff,E01002379,22.42
89195da638fffff,E01001962,7.18
89195da638fffff,E01001963,0.04
89195da638fffff,E01000157,16.87
89195da638fffff,E01000163,18.87
89194e6d54bffff,E01001574,0.14
89194e6d54bffff,E01001573,63.21
89194e6d54bffff,E01001571,3.71
89194ad040bffff,E01003303,1.59
89194ad040bffff,E01003300,4.39
89194ad040bffff,E01003299,7.05
89194ad040bffff,E01003301,34.9
89194e6b163ffff,E01004390,20.79
89194e6b163ffff,E01003744,2.41
89194e6b163ffff,E01004389,2.57
89194ad9927ffff,E01003002,6.98
89194ad9927ffff,E01002994,21.34
89194ad9927ffff,E01002997,2.37
89194ad1dcfffff,E01000745,1.57
89194ad1dcfffff,E01003948,30.18
89194ad1dcfffff,E01003946,1.41
89195dad4c3ffff,E01002438,1.23
89194ac0337ffff,E01001021,0.48
89194ac0337ffff,E01001017,5.76
89194e61223ffff,E01002308,0.03
89194e61223ffff,E01003726,2.48
89194e68d7bffff,E01000051,17.11
89194e68d7bffff,E01000050,37.71
89194e68d7bffff,E01000044,1.12
89194e68d7bffff,E01034473,20.58
89195da596bffff,E01001876,10.57
89194ad5157ffff,E01000747,0.95
89195da732fffff,E01000260,9.43
89195da732fffff,E01000256,3.12
89195daee87ffff,E01002237,26.61
89195daee87ffff,E01002240,22.82
89195daee87ffff,E01002129,4.37
89194ad13abffff,E01003160,4.6
89194ad13abffff,E01003031,29.1
89194ad13abffff,E01003159,1.06
89194ad13abffff,E01003028,45.4
89194e6c103ffff,E01000375,1.31
89194e6c103ffff,E01000374,0.66
89194e68357ffff,E01004436,10.21
89194e68357ffff,E01004362,8.72
89194ada8c7ffff,E01034578,0.04
89194ada8c7ffff,E01003478,17.25
89194ada8c7ffff,E01004492,2.77
89194ada8c7ffff,E01004498,17.74
89194ada8c7ffff,E01004496,5.09
89194ad2d6fffff,E01001599,12.17
89194ad2d6fffff,E01001598,8.41
89195d36c8fffff,E01002613,6.02
89195d36c8fffff,E01002611,9.46
89195dae463ffff,E01002144,2.08
89194ad0987ffff,E01000763,2.06
89194ad0987ffff,E01000762,24.07
89194e69d1bffff,E01004328,49.79
89194e69d1bffff,E01004341,14.21
89194e69d1bffff,E01004340,0.2
89194e69d1bffff,E01004330,22.02
89195da690bffff,E01002776,1.88
89195da690bffff,E01002780,19.5
89195da690bffff,E01002779,3.94
89195da690bffff,E01002775,38.41
89195da690bffff,E01002781,29.63
89194e6dac7ffff,E01000426,13.45
89194e6dac7ffff,E01000425,16.33
89195dac07bffff,E01002494,1.16
89195dac07bffff,E01002467,4.91
89195dac07bffff,E01002536,11.72
89194ac2c9bffff,E01001060,1.2
89194e6f48bffff,E01000036,7.7
89194e6f48bffff,E01000035,15.58
89194ad9ea3ffff,E01003889,1.31
89194ad9ea3ffff,E01003888,7.41
89194ad9ea3ffff,E01003887,1.35
89195da4523ffff,E01002008,9.66
89195da4523ffff,E01002010,5.42
89194ad234bffff,E01032579,10.58
89194ad234bffff,E01003253,0.59
89194ad234bffff,E01033727,44.9
89194ad234bffff,E01033728,1.79
89195d3626bffff,E01002444,0.6
89194e6d0a3ffff,E01001669,12.14
